scenario,attr1,attr2,attr3,attr4,attr5,v_1_2,v_1_3,v_1_4,v_1_5,v_2_3,v_2_4,v_2_5,v_3_4,v_3_5,v_4_5
hand_soap,7,0,-3,24,0,0,0,0,0,0,0,-84,0,0,0
mouse_pad,1,1,0,0,50,0,0,0,0,0,0,0,72,0,0
trunk_organizer,50,-5,0,-14,0,0,0,0,0,0,0,0,0,-66,0
tent,-50,16,-24,0,0,0,0,0,0,0,0,0,0,0,81
snack,0,33,-40,0,-12,0,0,-56,0,0,0,0,0,0,0
cocktail_shaker,-4,24,0,-50,0,0,0,0,0,0,0,0,0,97,0
smart_light_switch,39,0,-17,-44,0,0,0,0,0,0,0,68,0,0,0
cologne,-50,0,-7,-18,0,0,0,0,0,0,0,61,0,0,0
snorkel,-38,-48,50,0,0,0,0,0,0,0,0,0,0,0,86
tights,48,-39,0,50,0,0,0,0,0,0,0,0,0,-80,0
lawnmower,0,-30,13,46,0,0,0,0,60,0,0,0,0,0,0
trekking_poles,0,0,-14,-2,28,-51,0,0,0,0,0,0,0,0,0
toolbox,-16,0,50,-7,0,0,0,0,0,0,0,80,0,0,0
obd_scanner,48,-50,0,33,0,0,0,0,0,0,0,0,0,61,0
baby_lotion,-47,-50,0,-35,0,0,0,0,0,0,0,0,0,94,0
brochure,50,0,-25,-12,0,0,0,0,0,0,0,65,0,0,0
drawing_tablet,-50,0,-42,12,0,0,0,0,0,0,0,-68,0,0,0
heels,-16,0,44,0,12,0,0,0,0,0,-98,0,0,0,0
elbow_pads,0,0,26,-12,50,93,0,0,0,0,0,0,0,0,0
water_container,0,0,-12,-47,8,-99,0,0,0,0,0,0,0,0,0
nightgown,0,-10,50,0,25,0,0,83,0,0,0,0,0,0,0
loft,35,0,0,50,-6,0,0,0,0,97,0,0,0,0,0
model_train_tracks,0,32,-12,0,-10,0,0,60,0,0,0,0,0,0,0
raincoat,0,8,46,0,50,0,0,-88,0,0,0,0,0,0,0
lubricant,10,0,0,-1,-50,0,0,0,0,-90,0,0,0,0,0
radar_detector,0,-12,0,50,50,0,59,0,0,0,0,0,0,0,0
swim_fins,0,31,0,-46,34,0,-87,0,0,0,0,0,0,0,0
ski_goggles,18,0,-10,34,0,0,0,0,0,0,0,-60,0,0,0
hand_warmers,4,-1,50,0,0,0,0,0,0,0,0,0,0,0,82
plate,0,0,-38,4,-50,-86,0,0,0,0,0,0,0,0,0
garment_bag,-20,-5,0,16,0,0,0,0,0,0,0,0,0,87,0
wax_paper,0,50,32,-4,0,0,0,0,91,0,0,0,0,0,0
rv_generator,18,-40,0,0,-50,0,0,0,0,0,0,0,-77,0,0
briefcase,40,0,-50,0,42,0,0,0,0,0,-85,0,0,0,0
potty_chair,0,17,-40,0,-21,0,0,92,0,0,0,0,0,0,0
swim_goggles,-20,50,0,-31,0,0,0,0,0,0,0,0,0,62,0
suv,0,0,24,-13,-26,99,0,0,0,0,0,0,0,0,0
lizard,0,-11,0,2,50,0,-56,0,0,0,0,0,0,0,0
floor_cushion,0,-50,24,45,0,0,0,0,-63,0,0,0,0,0,0
ice_melt,0,50,-26,0,10,0,0,-64,0,0,0,0,0,0,0
concealer,0,-3,50,0,-28,0,0,-66,0,0,0,0,0,0,0
streaming_device,0,-28,-8,-14,0,0,0,0,-50,0,0,0,0,0,0
baseball,50,-18,-20,0,0,0,0,0,0,0,0,0,0,0,75
steak,30,0,-18,-50,0,0,0,0,0,0,0,-89,0,0,0
suite,0,0,-23,-50,10,-89,0,0,0,0,0,0,0,0,0
whiteboard_eraser,36,39,5,0,0,0,0,0,0,0,0,0,0,0,-54
face_serum,-12,0,-36,50,0,0,0,0,0,0,0,56,0,0,0
avocado_slicer,0,34,50,48,0,0,0,0,85,0,0,0,0,0,0
baby_wipes,38,50,0,-50,0,0,0,0,0,0,0,0,0,80,0
linseed_oil,-50,-22,-24,0,0,0,0,0,0,0,0,0,0,0,81
smart_speaker,-21,0,0,42,50,0,0,0,0,93,0,0,0,0,0
foot_file,-8,0,49,28,0,0,0,0,0,0,0,-55,0,0,0
spoon,9,0,-20,2,0,0,0,0,0,0,0,-89,0,0,0
leg_warmers,15,-21,0,-18,0,0,0,0,0,0,0,0,0,95,0
baby_onesie,-28,0,0,16,-50,0,0,0,0,-100,0,0,0,0,0
mop,-8,14,0,0,0,0,0,0,0,0,0,0,0,-74,0
camper,-22,50,-46,0,0,0,0,0,0,0,0,0,0,0,88
smoker,0,2,-50,0,-12,0,0,-83,0,0,0,0,0,0,0
meat_tenderizer,46,0,-2,-44,0,0,0,0,0,0,0,-66,0,0,0
motherboard,34,-26,0,0,14,0,0,0,0,0,0,0,69,0,0
cap,0,36,-3,0,6,0,0,-93,0,0,0,0,0,0,0
easel_pad,0,-50,0,-50,-12,0,60,0,0,0,0,0,0,0,0
cooling_rack,15,0,-50,31,0,0,0,0,0,0,0,-64,0,0,0
plunger,0,22,20,0,32,0,0,-97,0,0,0,0,0,0,0
excursion,50,-12,0,0,-49,0,0,0,0,0,0,0,92,0,0
log_splitter,26,0,0,50,-40,0,0,0,0,95,0,0,0,0,0
lantern,0,19,-20,32,0,0,0,0,-84,0,0,0,0,0,0
poncho,0,0,-28,30,-36,-74,0,0,0,0,0,0,0,0,0
fanny_pack,0,-31,-26,0,-50,0,0,77,0,0,0,0,0,0,0
led_mask,-28,0,0,50,16,0,0,0,0,66,0,0,0,0,0
usb_c_hub,-2,0,0,-41,-50,0,0,0,0,-99,0,0,0,0,0
arm_warmers,-1,-6,-28,0,0,0,0,0,0,0,0,0,0,0,100
wine_rack,-8,43,0,0,50,0,0,0,0,0,0,0,-97,0,0
magazine,-8,0,46,0,27,0,0,0,0,0,86,0,0,0,0
digital_photo_frame,0,-18,50,-18,0,0,0,0,-64,0,0,0,0,0,0
wood_stain,49,0,-44,0,16,0,0,0,0,0,82,0,0,0,0
nursing_pads,0,40,-50,0,-2,0,0,-82,0,0,0,0,0,0,0
leather_needles,0,0,-42,-26,50,-73,0,0,0,0,0,0,0,0,0
needle_felting_kit,0,38,-50,0,20,0,0,-95,0,0,0,0,0,0,0
desk,0,-10,33,0,50,0,0,63,0,0,0,0,0,0,0
oil_diffuser_necklace,0,7,-2,17,0,0,0,0,-54,0,0,0,0,0,0
vacation,20,-28,0,12,0,0,0,0,0,0,0,0,0,54,0
tongue_scraper,50,26,0,-13,0,0,0,0,0,0,0,0,0,61,0
facial_steamer,0,-4,34,50,0,0,0,0,-85,0,0,0,0,0,0
chisel_set,15,50,0,-12,0,0,0,0,0,0,0,0,0,71,0
horseshoes_set,17,50,-45,0,0,0,0,0,0,0,0,0,0,0,60
wrench,24,-5,0,0,-44,0,0,0,0,0,0,0,88,0,0
murphy_bed,0,13,-26,40,0,0,0,0,82,0,0,0,0,0,0
microdermabrasion,0,0,-1,-50,-34,97,0,0,0,0,0,0,0,0,0
meat_injector,0,-30,-50,26,0,0,0,0,-60,0,0,0,0,0,0
pasta,0,24,0,0,-50,0,0,0,0,0,0,0,73,0,0
candle,0,-8,50,11,0,0,0,0,-85,0,0,0,0,0,0
restaurant,0,0,16,-32,36,-78,0,0,0,0,0,0,0,0,0
kombucha_kit,0,-46,0,-35,0,0,-54,0,0,0,0,0,0,0,0
shoes,0,-20,-3,-50,0,0,0,0,62,0,0,0,0,0,0
corkscrew,-34,-32,0,0,20,0,0,0,0,0,0,0,-98,0,0
dinner,0,0,-38,28,50,55,0,0,0,0,0,0,0,0,0
arcade_cabinet,35,18,0,-50,0,0,0,0,0,0,0,0,0,-100,0
ladle,50,47,0,0,28,0,0,0,0,0,0,0,-75,0,0
car_polish,-5,42,50,0,0,0,0,0,0,0,0,0,0,0,73
ice_pack,41,0,0,36,32,0,0,0,0,-69,0,0,0,0,0
moisturizer,0,0,-32,-20,-19,-51,0,0,0,0,0,0,0,0,0
padded_envelope,44,22,-38,0,0,0,0,0,0,0,0,0,0,0,54
water_park,22,0,42,-50,0,0,0,0,0,0,0,67,0,0,0
string_lights,0,38,-50,-42,0,0,0,0,-83,0,0,0,0,0,0
chair_cushions,8,7,0,0,49,0,0,0,0,0,0,0,-72,0,0
broker,-50,12,0,-30,0,0,0,0,0,0,0,0,0,-58,0
internship,-14,15,32,0,0,0,0,0,0,0,0,0,0,0,-58
card_shuffler,0,0,50,-15,40,-79,0,0,0,0,0,0,0,0,0
bait,50,0,-12,0,-12,0,0,0,0,0,72,0,0,0,0
fork,0,0,48,-50,-28,53,0,0,0,0,0,0,0,0,0
tweezers,0,-42,49,-50,0,0,0,0,-95,0,0,0,0,0,0
lawyer,-11,50,12,0,0,0,0,0,0,0,0,0,0,0,61
foosball_table,0,-34,0,42,50,0,-85,0,0,0,0,0,0,0,0
fifth_wheel,0,-31,0,-10,50,0,86,0,0,0,0,0,0,0,0
tripod,-18,50,0,0,45,0,0,0,0,0,0,0,-79,0,0
siphon,-8,0,19,0,-12,0,0,0,0,0,77,0,0,0,0
stand_mixer,2,12,0,0,-18,0,0,0,0,0,0,0,94,0,0
sedan,0,-22,-36,0,22,0,0,-67,0,0,0,0,0,0,0
aluminum_foil,0,13,0,9,-50,0,90,0,0,0,0,0,0,0,0
chemex,0,50,24,6,0,0,0,0,77,0,0,0,0,0,0
rubber_stamps,0,-1,0,0,26,0,58,0,0,0,0,0,0,0,0
sketchbook,34,0,-50,0,17,0,0,0,0,0,-53,0,0,0,0
bassinet,33,0,-24,-42,0,0,0,0,0,0,0,60,0,0,0
tackle_box,0,-50,44,0,-44,0,0,-51,0,0,0,0,0,0,0
pc_case,-36,0,0,50,-37,0,0,0,0,72,0,0,0,0,0
tie,10,0,-48,0,-50,0,0,0,0,0,69,0,0,0,0
reading_glasses,0,41,0,50,-3,0,-95,0,0,0,0,0,0,0,0
snowmobile,0,-44,0,-50,-3,0,-71,0,0,0,0,0,0,0,0
atv,-40,-28,0,-5,0,0,0,0,0,0,0,0,0,-94,0
glue_stick,-4,-44,-50,0,0,0,0,0,0,0,0,0,0,0,63
spade,35,0,-14,-50,0,0,0,0,0,0,0,96,0,0,0
wrist_rest,-8,0,-1,0,-5,0,0,0,0,0,-87,0,0,0,0
pie_dish,30,0,-50,25,0,0,0,0,0,0,0,-96,0,0,0
foundation,0,50,21,0,-13,0,0,-82,0,0,0,0,0,0,0
dish_gloves,24,-50,0,0,5,0,0,0,0,0,0,0,69,0,0
citronella_candle,-2,0,-5,0,18,0,0,0,0,0,95,0,0,0,0
stock,-14,-28,0,0,-4,0,0,0,0,0,0,0,93,0,0
dutch_oven,14,-24,0,0,50,0,0,0,0,0,0,0,83,0,0
hdmi_splitter,0,40,-28,0,-18,0,0,-66,0,0,0,0,0,0,0
pour_over_dripper,0,34,-10,-50,0,0,0,0,-54,0,0,0,0,0,0
lipstick,-49,0,0,35,50,0,0,0,0,67,0,0,0,0,0
airport,-50,0,0,-7,24,0,0,0,0,85,0,0,0,0,0
comforter,-50,28,0,0,-38,0,0,0,0,0,0,0,57,0,0
baby_formula,43,-14,0,0,50,0,0,0,0,0,0,0,-72,0,0
creamer_pitcher,-32,0,0,38,-50,0,0,0,0,85,0,0,0,0,0
apple_corer,34,0,-50,0,-12,0,0,0,0,0,60,0,0,0,0
flight,0,0,-46,8,22,84,0,0,0,0,0,0,0,0,0
resistance_band,34,0,-50,12,0,0,0,0,0,0,0,-57,0,0,0
breast_pump,46,0,36,0,44,0,0,0,0,0,-76,0,0,0,0
watercolor_paints,-3,0,0,-50,-3,0,0,0,0,90,0,0,0,0,0
floor_steamer,2,0,6,-25,0,0,0,0,0,0,0,-72,0,0,0
body_wash,36,46,50,0,0,0,0,0,0,0,0,0,0,0,92
polyurethane,0,50,0,-38,-38,0,-97,0,0,0,0,0,0,0,0
nametag,32,6,0,-1,0,0,0,0,0,0,0,0,0,74,0
plein_air_easel,0,42,4,0,-50,0,0,-61,0,0,0,0,0,0,0
weed_trimmer,0,20,-48,49,0,0,0,0,100,0,0,0,0,0,0
tie_dye_kit,-44,0,1,-14,0,0,0,0,0,0,0,80,0,0,0
waffle_maker,-24,0,0,-14,50,0,0,0,0,-78,0,0,0,0,0
kitchen_island,0,40,-6,50,0,0,0,0,-68,0,0,0,0,0,0
pellets,12,22,50,0,0,0,0,0,0,0,0,0,0,0,-92
menstrual_cup,0,0,17,-42,-50,-55,0,0,0,0,0,0,0,0,0
bowl,50,0,-33,0,48,0,0,0,0,0,92,0,0,0,0
cutting_mat,0,-36,0,-40,-50,0,78,0,0,0,0,0,0,0,0
bacon,0,0,-40,0,16,0,0,99,0,0,0,0,0,0,0
yoga_pants,50,26,0,0,50,0,0,0,0,0,0,0,-70,0,0
major,0,0,-20,-19,-35,-68,0,0,0,0,0,0,0,0,0
airline,0,50,0,-48,-36,0,-66,0,0,0,0,0,0,0,0
motorcycle,0,50,0,0,-33,0,-68,0,0,0,0,0,0,0,0
tablet_stand,50,18,-33,0,0,0,0,0,0,0,0,0,0,0,56
fashion_ring,0,32,0,16,-33,0,-69,0,0,0,0,0,0,0,0
kettle,-37,0,0,-50,-28,0,0,0,0,-69,0,0,0,0,0
clogs,0,0,-50,-17,44,80,0,0,0,0,0,0,0,0,0
burger,0,-50,-21,-3,0,0,0,0,85,0,0,0,0,0,0
beach,50,0,33,5,0,0,0,0,0,0,0,-95,0,0,0
headboard,0,0,-33,-50,-18,-77,0,0,0,0,0,0,0,0,0
nursing_pillow,-50,-28,-17,0,0,0,0,0,0,0,0,0,0,0,73
ram,0,50,0,-38,44,0,62,0,0,0,0,0,0,0,0
dash_cam,-24,0,50,19,0,0,0,0,0,0,0,-69,0,0,0
packing_cubes,0,0,29,50,-28,-88,0,0,0,0,0,0,0,0,0
trifle_bowl,0,-33,17,0,-50,0,0,81,0,0,0,0,0,0,0
salt_shaker,0,0,42,50,10,-65,0,0,0,0,0,0,0,0,0
sd_card,0,-11,0,-15,-22,0,-85,0,0,0,0,0,0,0,0
all_season_tires,-6,0,10,0,-18,0,0,0,0,0,50,0,0,0,0
antihistamine,50,-44,0,-26,0,0,0,0,0,0,0,0,0,67,0
thermometer,-50,-20,0,26,0,0,0,0,0,0,0,0,0,-60,0
ergonomic_mouse,0,-13,-40,0,-50,0,0,76,0,0,0,0,0,0,0
rowing_machine,9,0,0,-32,28,0,0,0,0,-79,0,0,0,0,0
coffee_tamper,33,-50,0,0,-9,0,0,0,0,0,0,0,83,0,0
duct_tape,50,-50,0,0,-22,0,0,0,0,0,0,0,-91,0,0
seat_cover,4,0,0,50,14,0,0,0,0,70,0,0,0,0,0
binder_planner,0,-48,4,0,25,0,0,97,0,0,0,0,0,0,0
gelato,-9,30,0,50,0,0,0,0,0,0,0,0,0,-77,0
headlight,-19,0,0,-6,16,0,0,0,0,85,0,0,0,0,0
performance_tires,-44,-38,14,0,0,0,0,0,0,0,0,0,0,0,80
ski_helmet,0,0,-50,31,-12,-72,0,0,0,0,0,0,0,0,0
heated_gloves,28,0,0,-50,-28,0,0,0,0,75,0,0,0,0,0
embroidery_needles,0,-14,50,0,-9,0,0,66,0,0,0,0,0,0,0
scholarship,36,0,0,20,27,0,0,0,0,72,0,0,0,0,0
jeans,0,-6,42,0,50,0,0,-71,0,0,0,0,0,0,0
generator,28,0,6,50,0,0,0,0,0,0,0,69,0,0,0
peeler,-28,0,0,-2,-50,0,0,0,0,96,0,0,0,0,0
necklace,0,46,-10,0,-50,0,0,-97,0,0,0,0,0,0,0
fixative_spray,-16,-50,0,-23,0,0,0,0,0,0,0,0,0,83,0
chicken,-40,0,-39,0,24,0,0,0,0,0,81,0,0,0,0
masking_tape,-24,0,0,50,-20,0,0,0,0,-69,0,0,0,0,0
smart_display,50,0,0,-27,28,0,0,0,0,-93,0,0,0,0,0
water_bottle,-16,0,0,29,-50,0,0,0,0,-66,0,0,0,0,0
lift_chair,50,0,-11,0,5,0,0,0,0,0,-81,0,0,0,0
pastels,-45,-12,0,0,-50,0,0,0,0,0,0,0,-58,0,0
toaster,0,-36,45,50,0,0,0,0,-88,0,0,0,0,0,0
uv_resin_light,-10,0,40,-8,0,0,0,0,0,0,0,-64,0,0,0
smart_bulb,-18,-50,0,0,24,0,0,0,0,0,0,0,59,0,0
guacamole,47,-50,0,0,-4,0,0,0,0,0,0,0,-81,0,0
pet_treats,0,30,44,0,9,0,0,55,0,0,0,0,0,0,0
punch_bowl,29,50,0,-48,0,0,0,0,0,0,0,0,0,-59,0
nutcracker,-50,0,-39,0,-42,0,0,0,0,0,-93,0,0,0,0
bathroom_scale,29,50,0,0,-30,0,0,0,0,0,0,0,97,0,0
patio_umbrella,32,50,-12,0,0,0,0,0,0,0,0,0,0,0,74
stroller,0,0,14,-38,50,-99,0,0,0,0,0,0,0,0,0
ladder_toss,0,25,-50,0,-18,0,0,78,0,0,0,0,0,0,0
perfume,12,0,5,-10,0,0,0,0,0,0,0,-51,0,0,0
sled,0,50,0,0,48,0,0,89,0,0,0,0,0,0,0
snow_shovel,0,9,-50,-50,0,0,0,0,-51,0,0,0,0,0,0
car_emergency_kit,50,0,9,-6,0,0,0,0,0,0,0,-76,0,0,0
chalk_markers,0,0,38,-27,50,56,0,0,0,0,0,0,0,0,0
wood_lathe,43,0,0,46,-36,0,0,0,0,-83,0,0,0,0,0
cargo_trailer,0,48,0,-32,-50,0,75,0,0,0,0,0,0,0,0
tablet,0,0,50,-18,-35,-81,0,0,0,0,0,0,0,0,0
diving_mask,44,33,0,0,27,0,0,0,0,0,0,0,-64,0,0
ice_bucket,-36,40,0,0,-22,0,0,0,0,0,0,0,61,0,0
dry_suit,-50,0,0,10,-9,0,0,0,0,-50,0,0,0,0,0
sailboat,0,-50,-43,0,-34,0,0,90,0,0,0,0,0,0,0
duffel_bag,48,44,0,0,44,0,0,0,0,0,0,0,93,0,0
outdoor_plant,-50,38,0,12,0,0,0,0,0,0,0,0,0,-79,0
boat_trailer,12,0,0,50,-16,0,0,0,0,-59,0,0,0,0,0
figure_skates,0,0,50,-44,48,68,0,0,0,0,0,0,0,0,0
sunglasses,0,46,26,45,0,0,0,0,-51,0,0,0,0,0,0
coffee_grinder,-7,0,50,0,13,0,0,0,0,0,87,0,0,0,0
bread_box,0,5,0,13,-50,0,81,0,0,0,0,0,0,0,0
disinfectant,-35,0,0,-25,42,0,0,0,0,66,0,0,0,0,0
hot_dog,0,50,46,0,-48,0,0,-52,0,0,0,0,0,0,0
sudoku_book,-50,-27,0,0,24,0,0,0,0,0,0,0,87,0,0
whiteboard_markers,-50,0,26,0,-16,0,0,0,0,0,-79,0,0,0,0
bra,0,-18,10,-50,0,0,0,0,-96,0,0,0,0,0,0
scrapbook,0,-17,-50,44,0,0,0,0,99,0,0,0,0,0,0
mini_paint,50,0,40,-49,0,0,0,0,0,0,0,-79,0,0,0
nail_clipper,50,31,38,0,0,0,0,0,0,0,0,0,0,0,-69
pitchfork,0,2,0,50,46,0,-92,0,0,0,0,0,0,0,0
pain_reliever,0,-2,50,0,11,0,0,70,0,0,0,0,0,0,0
tiered_cake_stand,50,0,11,0,-11,0,0,0,0,0,-90,0,0,0,0
packing_tape,-40,47,0,0,-50,0,0,0,0,0,0,0,-79,0,0
play_mat,0,36,42,0,-34,0,0,57,0,0,0,0,0,0,0
mocha,0,-30,-20,28,0,0,0,0,99,0,0,0,0,0,0
coat,-44,0,-50,-14,0,0,0,0,0,0,0,89,0,0,0
baby_carrier,37,-14,0,22,0,0,0,0,0,0,0,0,0,-98,0
felting_wool,0,0,-13,23,-26,51,0,0,0,0,0,0,0,0,0
action_camera,50,0,-12,-34,0,0,0,0,0,0,0,-95,0,0,0
changing_pad,0,42,-1,50,0,0,0,0,74,0,0,0,0,0,0
ladder,16,0,0,48,30,0,0,0,0,-76,0,0,0,0,0
leather_conditioner,0,-33,50,15,0,0,0,0,-86,0,0,0,0,0,0
compression_bag,-36,0,44,50,0,0,0,0,0,0,0,-82,0,0,0
robot_mop,0,8,50,-34,0,0,0,0,99,0,0,0,0,0,0
crutches,-16,0,46,0,17,0,0,0,0,0,-79,0,0,0,0
compost_bin,0,50,-14,0,-4,0,0,95,0,0,0,0,0,0,0
car_seat,0,47,32,3,0,0,0,0,95,0,0,0,0,0,0
sports_drink,0,-18,2,-50,0,0,0,0,-64,0,0,0,0,0,0
kitchen_faucet,0,0,7,50,-16,-74,0,0,0,0,0,0,0,0,0
mascara,5,0,0,8,12,0,0,0,0,79,0,0,0,0,0
snow_boots,-50,0,-28,-23,0,0,0,0,0,0,0,-65,0,0,0
poster,-32,-12,26,0,0,0,0,0,0,0,0,0,0,0,55
mouse,-22,50,-4,0,0,0,0,0,0,0,0,0,0,0,-52
egg_timer,0,-28,-6,0,-50,0,0,-93,0,0,0,0,0,0,0
shin_guards,-3,0,-50,0,0,0,0,0,0,0,0,68,0,0,0
charcoal_pencils,-50,-26,0,10,0,0,0,0,0,0,0,0,0,52,0
rideshare,-28,0,6,37,0,0,0,0,0,0,0,-58,0,0,0
cufflinks,-20,0,0,-50,32,0,0,0,0,63,0,0,0,0,0
sink_stopper,50,0,0,50,26,0,0,0,0,-91,0,0,0,0,0
backpack,20,50,-47,0,0,0,0,0,0,0,0,0,0,0,50
golf_clubs,50,-45,0,36,0,0,0,0,0,0,0,0,0,85,0
antifungal_cream,0,0,-50,0,13,0,0,-63,0,0,0,0,0,0,0
watch,0,50,0,0,-8,0,0,75,0,0,0,0,0,0,0
bed_frame,-6,0,50,0,29,0,0,0,0,0,99,0,0,0,0
scooter,50,12,-42,0,0,0,0,0,0,0,0,0,0,0,77
smart_home_hub,6,0,-46,0,40,0,0,0,0,0,-96,0,0,0,0
heater,49,0,0,1,-50,0,0,0,0,72,0,0,0,0,0
shop_vac,0,27,-50,0,43,0,0,50,0,0,0,0,0,0,0
underwear,0,-28,50,33,0,0,0,0,-76,0,0,0,0,0,0
bath_mat,0,0,-11,-16,-42,-56,0,0,0,0,0,0,0,0,0
doorbell,0,-40,-12,0,50,0,0,-82,0,0,0,0,0,0,0
notebook,0,50,0,0,44,0,0,67,0,0,0,0,0,0,0
energy_drink,0,-48,38,42,0,0,0,0,65,0,0,0,0,0,0
foam_roller,36,0,0,50,27,0,0,0,0,-73,0,0,0,0,0
butcher_block,44,50,0,40,0,0,0,0,0,0,0,0,0,52,0
razor,-50,0,-14,8,0,0,0,0,0,0,0,88,0,0,0
parrot,-4,0,-50,-33,0,0,0,0,0,0,0,98,0,0,0
debit_card,-14,50,0,46,0,0,0,0,0,0,0,0,0,70,0
blackhead_remover,0,50,-10,39,0,0,0,0,-64,0,0,0,0,0,0
smartphone,0,0,29,-1,-30,72,0,0,0,0,0,0,0,0,0
highlighter,0,-6,-50,0,-46,0,0,92,0,0,0,0,0,0,0
travel_umbrella,50,50,6,0,0,0,0,0,0,0,0,0,0,0,77
mouthguard,32,0,-34,0,-20,0,0,0,0,0,-87,0,0,0,0
face_respirator,38,0,25,0,-50,0,0,0,0,0,-95,0,0,0,0
outdoor_rug,0,-6,-10,0,-8,0,0,54,0,0,0,0,0,0,0
trailer_hitch,-36,-14,0,0,-50,0,0,0,0,0,0,0,-57,0,0
football,-42,50,48,0,0,0,0,0,0,0,0,0,0,0,-79
hockey_skates,0,0,-34,-50,-15,58,0,0,0,0,0,0,0,0,0
reading_lamp,0,-14,40,-36,0,0,0,0,67,0,0,0,0,0,0
mousse,0,0,1,50,-12,-62,0,0,0,0,0,0,0,0,0
gas_grill,-50,0,0,-32,-48,0,0,0,0,-68,0,0,0,0,0
pillar_holder,-42,0,0,-31,36,0,0,0,0,89,0,0,0,0,0
cookie_cutters,-32,0,-50,0,-19,0,0,0,0,0,99,0,0,0,0
card_reader,0,-12,-38,0,44,0,0,-94,0,0,0,0,0,0,0
wallet,-4,-30,0,24,0,0,0,0,0,0,0,0,0,-99,0
super_glue,5,0,0,-50,-30,0,0,0,0,71,0,0,0,0,0
nasal_spray,0,0,-50,21,46,74,0,0,0,0,0,0,0,0,0
air_fryer,0,0,-16,50,23,-91,0,0,0,0,0,0,0,0,0
outdoor_heater,-2,-19,0,-50,0,0,0,0,0,0,0,0,0,60,0
basketball,0,0,-31,46,50,-50,0,0,0,0,0,0,0,0,0
phone_mount,50,0,-5,-4,0,0,0,0,0,0,0,-56,0,0,0
luggage_set,-27,0,0,-31,44,0,0,0,0,98,0,0,0,0,0
shovel,-25,0,0,-4,-24,0,0,0,0,52,0,0,0,0,0
pulse_oximeter,0,0,0,50,4,79,0,0,0,0,0,0,0,0,0
boombox,-50,-10,0,-46,0,0,0,0,0,0,0,0,0,73,0
pacifier,44,0,-50,0,-5,0,0,0,0,0,-88,0,0,0,0
pet_food,0,-2,0,6,-50,0,60,0,0,0,0,0,0,0,0
3d_printer_enclosure,10,-7,0,26,0,0,0,0,0,0,0,0,0,86,0
crib,11,-40,-50,0,0,0,0,0,0,0,0,0,0,0,66
smoke_mask,0,8,2,10,0,0,0,0,90,0,0,0,0,0,0
instant_pot,-14,0,0,28,-47,0,0,0,0,82,0,0,0,0,0
case_fan,0,-24,0,24,44,0,-53,0,0,0,0,0,0,0,0
door,0,4,-39,0,-50,0,0,-93,0,0,0,0,0,0,0
correction_tape,24,14,50,0,0,0,0,0,0,0,0,0,0,0,92
thermal_paste,42,0,-50,-30,0,0,0,0,0,0,0,77,0,0,0
drawing_pad,-32,0,-50,-8,0,0,0,0,0,0,0,-73,0,0,0
shower_liner,0,48,0,50,4,0,81,0,0,0,0,0,0,0,0
charcoal_grill,14,-4,50,0,0,0,0,0,0,0,0,0,0,0,51
dry_erase_calendar,0,0,-11,50,-14,88,0,0,0,0,0,0,0,0,0
thermos,-8,0,22,-20,0,0,0,0,0,0,0,98,0,0,0
mirrorless_camera,32,0,-15,-16,0,0,0,0,0,0,0,-95,0,0,0
mahjong_set,0,0,-38,25,-26,-58,0,0,0,0,0,0,0,0,0
sectional,-39,0,50,28,0,0,0,0,0,0,0,58,0,0,0
embossing_powder,0,20,0,16,50,0,-97,0,0,0,0,0,0,0,0
bodyboard,-45,20,2,0,0,0,0,0,0,0,0,0,0,0,96
poker_table,0,-6,0,32,26,0,56,0,0,0,0,0,0,0,0
safety_gate,38,0,-47,-40,0,0,0,0,0,0,0,90,0,0,0
water_filter,-50,8,8,0,0,0,0,0,0,0,0,0,0,0,-93
punching_bag,50,14,-41,0,0,0,0,0,0,0,0,0,0,0,90
van,-2,-50,0,0,0,0,0,0,0,0,0,0,-97,0,0
coffeemaker,44,0,0,24,2,0,0,0,0,-84,0,0,0,0,0
fertility_monitor,0,-46,-44,0,44,0,0,-92,0,0,0,0,0,0,0
bidet,28,12,0,0,4,0,0,0,0,0,0,0,-93,0,0
car_wax,0,0,4,-6,9,72,0,0,0,0,0,0,0,0,0
paint_palette,-5,0,-33,26,0,0,0,0,0,0,0,-86,0,0,0
cordless_vacuum,19,50,0,0,40,0,0,0,0,0,0,0,-96,0,0
gouache_paints,44,0,0,50,-48,0,0,0,0,-89,0,0,0,0,0
baby_swing,-50,0,0,31,-28,0,0,0,0,100,0,0,0,0,0
protein_bar,0,6,0,-34,-40,0,52,0,0,0,0,0,0,0,0
turtle,9,0,-50,0,21,0,0,0,0,0,57,0,0,0,0
guided_tour,0,-8,-30,0,-50,0,0,52,0,0,0,0,0,0,0
pearl_earrings,0,32,-20,0,-14,0,0,-81,0,0,0,0,0,0,0
taxi_service,-18,0,-44,8,0,0,0,0,0,0,0,-75,0,0,0
coupe,9,0,-32,16,0,0,0,0,0,0,0,-51,0,0,0
apartment,46,34,0,0,2,0,0,0,0,0,0,0,61,0,0
palette_knife,0,50,24,14,0,0,0,0,71,0,0,0,0,0,0
life_jacket,40,31,-32,0,0,0,0,0,0,0,0,0,0,0,-83
quilting_fabric,23,14,0,0,0,0,0,0,0,0,0,0,-57,0,0
chest_freezer,35,26,0,50,0,0,0,0,0,0,0,0,0,-100,0
