scenario,position,attribute,units,weight,cut_column,cut_percent,cut_value,range_min,range_max,active
diaper_bag,4,bag_weight,ounces,32.0,cut4,0.0,12.0,12.0,48.0,False
diaper_bag,5,water_resistance,hours of water protection,-64.0,cut5,0.0,1.0,1.0,8.0,False
sponges,1,durability,days until replacement needed,41.0,cut1,0.0,7.0,7.0,90.0,False
sponges,2,scrubbing_power,abrasiveness rating out of 10,100.0,cut2,0.0,1.0,1.0,10.0,False
sponges,3,absorption_capacity,milliliters,0.0,cut3,44.0,99.0,20.0,200.0,True
sponges,4,bacteria_resistance,hours before bacterial growth,-36.0,cut4,0.0,24.0,24.0,168.0,False
sponges,5,drying_speed,minutes until dry,24.0,cut5,0.0,30.0,30.0,240.0,False
popcorn,1,serving_size,cups,-100.0,cut1,0.0,2.0,2.0,8.0,False
popcorn,2,fiber_content,grams per serving,0.0,cut2,49.0,5.0,2.0,8.0,True
popcorn,3,butter_content,grams per serving,3.0,cut3,0.0,0.0,0.0,15.0,False
popcorn,4,sodium_content,milligrams per serving,84.0,cut4,0.0,0.0,0.0,300.0,False
popcorn,5,calories_per_serving,calories,-75.0,cut5,0.0,30.0,30.0,160.0,False
recliner,1,recline_angle,degrees,-60.0,cut1,0.0,120.0,120.0,180.0,False
recliner,2,seat_width,inches,-60.0,cut2,0.0,20.0,20.0,30.0,False
recliner,3,cushion_thickness,inches,16.0,cut3,0.0,4.0,4.0,12.0,False
recliner,4,lumbar_support,support rating,0.0,cut4,68.0,7.0,1.0,10.0,True
recliner,5,footrest_length,inches,60.0,cut5,0.0,12.0,12.0,24.0,False
arrows,1,straightness,thousandths of an inch,-100.0,cut1,0.0,2.0,2.0,6.0,False
arrows,2,spine_stiffness,spine rating,0.0,cut2,46.0,438.0,300.0,600.0,True
arrows,3,weight_grains,grains,26.0,cut3,0.0,350.0,350.0,500.0,False
arrows,4,durability_rating,durability score,3.0,cut4,0.0,1.0,1.0,10.0,False
arrows,5,fletching_length,inches,-30.0,cut5,0.0,2.0,2.0,4.0,False
pattern_weights,1,weight_per_piece,ounces,-17.0,cut1,0.0,2.0,2.0,16.0,False
pattern_weights,2,stability,stability rating,100.0,cut2,0.0,1.0,1.0,10.0,False
pattern_weights,3,fabric_protection,protection rating,50.0,cut3,0.0,1.0,1.0,10.0,False
pattern_weights,4,pieces_per_set,count,0.0,cut4,70.0,15.0,4.0,20.0,True
pattern_weights,5,ease_of_placement,ease rating,-1.0,cut5,0.0,1.0,1.0,10.0,False
wheelbarrow,1,load_capacity,pounds,0.0,cut1,46.0,476.0,200.0,800.0,True
wheelbarrow,2,tray_volume,cubic feet,3.0,cut2,0.0,4.0,4.0,10.0,False
wheelbarrow,3,tire_diameter,inches,-73.0,cut3,0.0,12.0,12.0,20.0,False
wheelbarrow,4,handle_grip_comfort,comfort rating,50.0,cut4,0.0,1.0,1.0,10.0,False
wheelbarrow,5,stability_rating,rating,-100.0,cut5,0.0,1.0,1.0,10.0,False
soil,1,nutrient_content,rating,28.0,cut1,0.0,1.0,1.0,10.0,False
soil,2,moisture_retention,rating,-51.0,cut2,0.0,1.0,1.0,10.0,False
soil,3,organic_matter,percent,90.0,cut3,0.0,0.0,0.0,100.0,False
soil,4,drainage_rating,rating,100.0,cut4,0.0,1.0,1.0,10.0,False
soil,5,ph_level,pH,0.0,cut5,35.0,5.4,4.0,8.0,True
sleeping_bag,1,temperature_rating,degrees fahrenheit,-12.0,cut1,0.0,0.0,0.0,50.0,False
sleeping_bag,2,packed_volume,liters,90.0,cut2,0.0,2.0,2.0,15.0,False
sleeping_bag,3,insulation_loft,inches,100.0,cut3,0.0,1.0,1.0,5.0,False
sleeping_bag,4,interior_length,inches,0.0,cut4,55.0,82.0,72.0,90.0,True
sleeping_bag,5,shoulder_girth,inches,64.0,cut5,0.0,58.0,58.0,76.0,False
paper_towel,1,sheet_size,square inches,0.0,cut1,57.0,78.0,36.0,110.0,True
paper_towel,2,sheets_per_roll,number of sheets,-38.0,cut2,0.0,45.0,45.0,160.0,False
paper_towel,3,absorption_capacity,milliliters per sheet,-81.0,cut3,0.0,20.0,20.0,50.0,False
paper_towel,4,wet_strength,pounds of force,89.0,cut4,0.0,1.0,1.0,3.0,False
paper_towel,5,thickness,millimeters,100.0,cut5,0.0,0.3,0.3,0.8,False
outdoor_tv_cover,1,water_resistance,millimeters water column,26.0,cut1,0.0,1000.0,1000.0,5000.0,False
outdoor_tv_cover,2,uv_protection,UPF rating,-24.0,cut2,0.0,30.0,30.0,100.0,False
outdoor_tv_cover,3,material_thickness,millimeters,-100.0,cut3,0.0,0.2,0.2,1.0,False
outdoor_tv_cover,4,ventilation_holes,number of holes,-54.0,cut4,0.0,2.0,2.0,12.0,False
outdoor_tv_cover,5,ease_of_installation,rating out of 10,0.0,cut5,30.0,4.0,1.0,10.0,True
tamper,1,base_diameter,millimeters,97.0,cut1,0.0,49.0,49.0,58.0,False
tamper,2,handle_length,millimeters,0.0,cut2,46.0,98.0,80.0,120.0,True
tamper,3,total_weight,grams,17.0,cut3,0.0,300.0,300.0,600.0,False
tamper,4,surface_smoothness,roughness score,-99.0,cut4,0.0,1.0,1.0,10.0,False
tamper,5,grip_comfort,ergonomic rating,100.0,cut5,0.0,1.0,1.0,10.0,False
garment_steamer,1,water_capacity,milliliters,-100.0,cut1,0.0,100.0,100.0,2000.0,False
garment_steamer,2,heat_up_time,seconds,-73.0,cut2,0.0,15.0,15.0,120.0,False
garment_steamer,3,steam_time,minutes,0.0,cut3,58.0,38.0,8.0,60.0,True
garment_steamer,4,cord_length,feet,-77.0,cut4,0.0,5.0,5.0,15.0,False
garment_steamer,5,steam_output,grams per minute,29.0,cut5,0.0,15.0,15.0,40.0,False
alcohol_markers,1,color_count,number of colors,0.0,cut1,43.0,107.0,24.0,216.0,True
alcohol_markers,2,ink_capacity,milliliters,65.0,cut2,0.0,1.0,1.0,5.0,False
alcohol_markers,3,tip_firmness,durometer rating,100.0,cut3,0.0,50.0,50.0,90.0,False
alcohol_markers,4,bleed_resistance,layers before bleeding,10.0,cut4,0.0,2.0,2.0,8.0,False
alcohol_markers,5,stroke_smoothness,smoothness rating,-2.0,cut5,0.0,1.0,1.0,10.0,False
rabbit,1,life_expectancy,years,0.0,cut1,66.0,12.0,8.0,14.0,True
rabbit,2,adult_weight,pounds,-30.0,cut2,0.0,2.0,2.0,20.0,False
rabbit,3,grooming_needs,hours per week,-55.0,cut3,0.0,1.0,1.0,5.0,False
rabbit,4,sociability,interaction hours per day,-100.0,cut4,0.0,2.0,2.0,8.0,False
rabbit,5,activity_level,hours of exercise needed per day,78.0,cut5,0.0,2.0,2.0,6.0,False
bracelet,1,band_width,millimeters,52.0,cut1,0.0,2.0,2.0,20.0,False
bracelet,2,weight,grams,0.0,cut2,34.0,41.0,10.0,100.0,True
bracelet,3,flexibility,degrees of bend,98.0,cut3,0.0,45.0,45.0,360.0,False
bracelet,4,surface_shine,percent light reflected,55.0,cut4,0.0,10.0,10.0,95.0,False
bracelet,5,clasp_strength,pounds of force to open,100.0,cut5,0.0,0.5,0.5,5.0,False
adapter,1,power_output,watts,0.0,cut1,0.0,30.0,30.0,140.0,False
adapter,2,number_of_ports,ports,38.0,cut2,0.0,1.0,1.0,6.0,False
adapter,3,cord_length,feet,-100.0,cut3,0.0,3.0,3.0,10.0,False
adapter,4,weight,ounces,2.0,cut4,0.0,3.0,3.0,16.0,False
adapter,5,charging_speed,minutes to full charge,0.0,cut5,50.0,105.0,30.0,180.0,True
night_light,1,brightness,lumens,-100.0,cut1,0.0,1.0,1.0,100.0,False
night_light,2,coverage_angle,degrees,-12.0,cut2,0.0,60.0,60.0,180.0,False
night_light,3,sensor_distance,feet,-10.0,cut3,0.0,5.0,5.0,30.0,False
night_light,4,auto_shutoff_delay,seconds,-39.0,cut4,0.0,10.0,10.0,300.0,False
night_light,5,projected_area,square feet,0.0,cut5,61.0,13.0,2.0,20.0,True
travel_wallet,1,passport_slots,number of slots,-78.0,cut1,0.0,1.0,1.0,6.0,False
travel_wallet,2,card_capacity,number of cards,84.0,cut2,0.0,4.0,4.0,20.0,False
travel_wallet,3,document_compartments,number of compartments,-24.0,cut3,0.0,2.0,2.0,12.0,False
travel_wallet,4,water_resistance,minutes in rain,11.0,cut4,0.0,5.0,5.0,120.0,False
travel_wallet,5,thickness_when_empty,millimeters,0.0,cut5,62.0,20.0,5.0,30.0,True
central_vacuum,1,suction_power,air watts,-69.0,cut1,0.0,500.0,500.0,1200.0,False
central_vacuum,2,noise_level,decibels,97.0,cut2,0.0,55.0,55.0,85.0,False
central_vacuum,3,dirt_capacity,gallons,0.0,cut3,40.0,8.0,3.0,15.0,True
central_vacuum,4,hose_reach,feet,4.0,cut4,0.0,30.0,30.0,50.0,False
central_vacuum,5,filtration_efficiency,percent,100.0,cut5,0.0,85.0,85.0,99.9,False
microwave_cover,1,diameter,inches,-17.0,cut1,0.0,8.0,8.0,14.0,False
microwave_cover,2,vent_holes,number of holes,56.0,cut2,0.0,4.0,4.0,24.0,False
microwave_cover,3,collapse_height,inches,-100.0,cut3,0.0,0.5,0.5,3.0,False
microwave_cover,4,heat_resistance,degrees fahrenheit,9.0,cut4,0.0,150.0,150.0,450.0,False
microwave_cover,5,transparency,percent,0.0,cut5,57.0,57.0,0.0,100.0,True
porch_swing,1,seating_capacity,number of adults,0.0,cut1,61.0,3.2,2.0,4.0,True
porch_swing,2,back_support_angle,degrees from vertical,-35.0,cut2,0.0,10.0,10.0,30.0,False
porch_swing,3,seat_depth,inches,26.0,cut3,0.0,18.0,18.0,30.0,False
porch_swing,4,chain_strength,pounds of tension strength,100.0,cut4,0.0,500.0,500.0,1500.0,False
porch_swing,5,weather_resistance,years of outdoor durability,42.0,cut5,0.0,5.0,5.0,20.0,False
stability_ball,1,ball_diameter,centimeters,100.0,cut1,0.0,45.0,45.0,85.0,False
stability_ball,2,burst_resistance,pounds,0.0,cut2,70.0,1550.0,500.0,2000.0,True
stability_ball,3,surface_grip_rating,friction coefficient,96.0,cut3,0.0,0.3,0.3,0.9,False
stability_ball,4,material_thickness,millimeters,-43.0,cut4,0.0,1.0,1.0,4.0,False
stability_ball,5,anti_burst_rating,pounds per square inch,-98.0,cut5,0.0,100.0,100.0,300.0,False
ink_cartridge,1,ink_capacity,milliliters,65.0,cut1,0.0,0.5,0.5,3.0,False
ink_cartridge,2,flow_consistency,hours without skipping,-24.0,cut2,0.0,2.0,2.0,24.0,False
ink_cartridge,3,drying_time,seconds,-54.0,cut3,0.0,3.0,3.0,60.0,False
ink_cartridge,4,color_saturation,percent,-75.0,cut4,0.0,70.0,70.0,100.0,False
ink_cartridge,5,shelf_life,months,0.0,cut5,30.0,23.0,12.0,48.0,True
wood_glue,1,open_time,minutes,-40.0,cut1,0.0,5.0,5.0,30.0,False
wood_glue,2,clamp_time,hours,0.0,cut2,59.0,14.0,0.5,24.0,True
wood_glue,3,water_resistance,rating out of 10,56.0,cut3,0.0,1.0,1.0,10.0,False
wood_glue,4,bond_strength,psi,100.0,cut4,0.0,2000.0,2000.0,4000.0,False
wood_glue,5,temperature_resistance,degrees Fahrenheit,12.0,cut5,0.0,120.0,120.0,200.0,False
sleep_sack,1,warmth_rating,TOG rating,73.0,cut1,0.0,0.5,0.5,3.5,False
sleep_sack,2,length,inches,-3.0,cut2,0.0,24.0,24.0,36.0,False
sleep_sack,3,zipper_length,inches,-7.0,cut3,0.0,8.0,8.0,20.0,False
sleep_sack,4,neck_circumference,inches,-100.0,cut4,0.0,10.0,10.0,14.0,False
sleep_sack,5,fabric_weight,ounces per square yard,0.0,cut5,57.0,8.0,3.0,12.0,True
mixer,1,motor_power,watts,-99.0,cut1,0.0,250.0,250.0,1000.0,False
mixer,2,bowl_capacity,quarts,0.0,cut2,35.0,5.0,3.0,8.0,True
mixer,3,speed_settings,number of speeds,-13.0,cut3,0.0,3.0,3.0,12.0,False
mixer,4,attachment_compatibility,number of compatible attachments,-78.0,cut4,0.0,3.0,3.0,15.0,False
mixer,5,kneading_efficiency,minutes to knead standard bread dough,49.0,cut5,0.0,3.0,3.0,10.0,False
dominoes,1,domino_size,millimeters length,-34.0,cut1,0.0,35.0,35.0,75.0,False
dominoes,2,pip_visibility,viewing distance in feet,65.0,cut2,0.0,1.0,1.0,5.0,False
dominoes,3,tile_weight,grams,0.0,cut3,47.0,16.0,8.0,25.0,True
dominoes,4,case_durability,years of expected life,-100.0,cut4,0.0,2.0,2.0,15.0,False
dominoes,5,impact_resistance,drop height in inches,-100.0,cut5,0.0,12.0,12.0,48.0,False
crochet_hook,1,handle_length,inches,-100.0,cut1,0.0,4.0,4.0,8.0,False
crochet_hook,2,grip_cushioning,millimeters of padding,46.0,cut2,0.0,0.0,0.0,5.0,False
crochet_hook,3,handle_diameter,millimeters,95.0,cut3,0.0,8.0,8.0,15.0,False
crochet_hook,4,weight,grams,37.0,cut4,0.0,10.0,10.0,30.0,False
crochet_hook,5,grip_texture_depth,millimeters,0.0,cut5,33.0,0.7,0.1,2.0,True
sawhorse,1,weight_capacity,pounds,-100.0,cut1,0.0,500.0,500.0,2500.0,False
sawhorse,2,height,inches,46.0,cut2,0.0,25.0,25.0,36.0,False
sawhorse,3,folded_thickness,inches,64.0,cut3,0.0,3.0,3.0,8.0,False
sawhorse,4,support_beam_width,inches,95.0,cut4,0.0,2.0,2.0,6.0,False
sawhorse,5,leg_spread_width,inches,0.0,cut5,44.0,33.0,24.0,45.0,True
stockings,1,denier_thickness,denier,-45.0,cut1,0.0,5.0,5.0,100.0,False
stockings,2,stretch_factor,percent stretch,0.0,cut2,46.0,28.0,10.0,50.0,True
stockings,3,durability_rating,wears before running,-7.0,cut3,0.0,1.0,1.0,30.0,False
stockings,4,compression_level,mmHg,-100.0,cut4,0.0,8.0,8.0,30.0,False
stockings,5,length,inches,46.0,cut5,0.0,20.0,20.0,40.0,False
fabric_markers,1,number_of_colors,colors,99.0,cut1,0.0,6.0,6.0,36.0,False
fabric_markers,2,tip_width,millimeters,44.0,cut2,0.0,0.5,0.5,5.0,False
fabric_markers,3,color_vibrancy,percent of original color after 10 washes,73.0,cut3,0.0,40.0,40.0,95.0,False
fabric_markers,4,bleed_resistance,millimeters of spread,-100.0,cut4,0.0,0.1,0.1,2.0,False
fabric_markers,5,drying_time,minutes,0.0,cut5,55.0,17.0,1.0,30.0,True
cherry_pitter,1,pitting_speed,cherries per minute,-59.0,cut1,0.0,10.0,10.0,60.0,False
cherry_pitter,2,splash_radius,inches,0.0,cut2,67.0,8.0,0.0,12.0,True
cherry_pitter,3,pit_accuracy,percent of pits successfully removed,84.0,cut3,0.0,85.0,85.0,100.0,False
cherry_pitter,4,fruit_damage,percent of cherries damaged,92.0,cut4,0.0,0.0,0.0,20.0,False
cherry_pitter,5,cleaning_time,seconds,-100.0,cut5,0.0,10.0,10.0,120.0,False
amusement_park,1,number_of_rides,rides,-14.0,cut1,0.0,15.0,15.0,100.0,False
amusement_park,2,thrill_rides,number of rides,100.0,cut2,0.0,5.0,5.0,30.0,False
amusement_park,3,park_size,acres,55.0,cut3,0.0,20.0,20.0,500.0,False
amusement_park,4,shade_coverage,percent of walkways,26.0,cut4,0.0,20.0,20.0,80.0,False
amusement_park,5,daily_shows,number of shows,0.0,cut5,40.0,15.0,5.0,30.0,True
snow_brush,1,brush_length,inches,-100.0,cut1,0.0,24.0,24.0,60.0,False
snow_brush,2,scraper_width,inches,0.0,cut2,37.0,7.0,4.0,12.0,True
snow_brush,3,foam_grip_thickness,millimeters,60.0,cut3,0.0,5.0,5.0,25.0,False
snow_brush,4,brush_bristle_density,bristles per square inch,-38.0,cut4,0.0,100.0,100.0,400.0,False
snow_brush,5,durability_rating,rating out of 10,69.0,cut5,0.0,1.0,1.0,10.0,False
safety_pins,1,pin_length,millimeters,55.0,cut1,0.0,19.0,19.0,70.0,False
safety_pins,2,spring_strength,newtons of closing force,56.0,cut2,0.0,1.0,1.0,5.0,False
safety_pins,3,rust_resistance,hours in humid conditions,-49.0,cut3,0.0,24.0,24.0,1000.0,False
safety_pins,4,clasp_security,newtons to accidentally open,0.0,cut4,36.0,5.0,2.0,10.0,True
safety_pins,5,bend_resistance,newtons before deformation,-26.0,cut5,0.0,5.0,5.0,25.0,False
sewing_machine,1,max_sewing_speed,stitches per minute,0.0,cut1,61.0,1110.0,500.0,1500.0,True
sewing_machine,2,throat_space,inches,-95.0,cut2,0.0,6.0,6.0,12.0,False
sewing_machine,3,number_of_stitches,stitch types,65.0,cut3,0.0,10.0,10.0,100.0,False
sewing_machine,4,noise_level,decibels,-100.0,cut4,0.0,60.0,60.0,85.0,False
sewing_machine,5,bobbin_capacity,yards of thread,53.0,cut5,0.0,50.0,50.0,200.0,False
pressure_cooker,1,capacity,quarts,44.0,cut1,0.0,4.0,4.0,12.0,False
pressure_cooker,2,max_pressure,psi,68.0,cut2,0.0,12.0,12.0,15.0,False
pressure_cooker,3,heat_up_time,minutes,0.0,cut3,37.0,9.0,5.0,15.0,True
pressure_cooker,4,warranty_length,years,24.0,cut4,0.0,1.0,1.0,10.0,False
pressure_cooker,5,weight,pounds,-34.0,cut5,0.0,3.0,3.0,8.0,False
necklace_stand,1,display_height,inches,35.0,cut1,0.0,8.0,8.0,24.0,False
necklace_stand,2,number_of_hooks,count,0.0,cut2,44.0,8.0,3.0,15.0,True
necklace_stand,3,base_stability,stability rating,-85.0,cut3,0.0,1.0,1.0,10.0,False
necklace_stand,4,hook_spacing,inches,-82.0,cut4,0.0,1.0,1.0,4.0,False
necklace_stand,5,rotation_smoothness,smoothness rating,-15.0,cut5,0.0,1.0,1.0,10.0,False
soccer_ball,1,water_resistance,water resistance rating,-100.0,cut1,0.0,1.0,1.0,10.0,False
soccer_ball,2,durability,months of regular use,-82.0,cut2,0.0,6.0,6.0,36.0,False
soccer_ball,3,air_retention,days between inflation needed,0.0,cut3,51.0,34.0,7.0,60.0,True
soccer_ball,4,shape_retention,shape retention rating,-42.0,cut4,0.0,1.0,1.0,10.0,False
soccer_ball,5,visibility,visibility rating,-18.0,cut5,0.0,1.0,1.0,10.0,False
