scenario,attr1,attr2,attr3,attr4,attr5,cut1,cut2,cut3,cut4,cut5
dish_gloves,-100,0,-19,61,-85,0,40,0,0,0
citronella_candle,0,-81,-31,100,-94,61,0,0,0,0
stock,-60,0,-82,94,26,0,65,0,0,0
dutch_oven,0,-100,62,82,96,52,0,0,0,0
hdmi_splitter,9,-100,21,-21,0,0,0,0,0,65
pour_over_dripper,-75,-100,24,0,-17,0,0,0,53,0
lipstick,-61,0,100,-37,15,0,33,0,0,0
airport,59,-100,-29,0,-75,0,0,0,66,0
comforter,-37,0,-87,-7,-63,0,38,0,0,0
baby_formula,26,-53,81,0,-66,0,0,0,62,0
creamer_pitcher,0,77,-2,-100,-68,49,0,0,0,0
apple_corer,49,24,-14,0,-9,0,0,0,45,0
flight,0,-74,-100,-26,-75,62,0,0,0,0
resistance_band,-1,-3,12,-17,0,0,0,0,0,57
breast_pump,-22,0,100,12,-92,0,50,0,0,0
watercolor_paints,-100,0,-79,73,-69,0,39,0,0,0
floor_steamer,-58,1,45,0,-100,0,0,0,60,0
body_wash,-29,0,-20,100,98,0,45,0,0,0
polyurethane,-64,100,-34,41,0,0,0,0,0,66
nametag,76,-66,100,-71,0,0,0,0,0,30
plein_air_easel,63,30,-100,7,0,0,0,0,0,35
weed_trimmer,-25,0,12,81,60,0,50,0,0,0
tie_dye_kit,91,90,-30,0,-65,0,0,0,59,0
waffle_maker,70,-84,0,-100,-59,0,0,53,0,0
kitchen_island,82,31,0,73,64,0,0,41,0,0
pellets,-43,0,33,52,88,0,32,0,0,0
menstrual_cup,0,-100,-66,-8,97,47,0,0,0,0
bowl,64,0,84,100,47,0,30,0,0,0
cutting_mat,0,68,-41,83,95,54,0,0,0,0
bacon,-100,49,65,-70,0,0,0,0,0,46
yoga_pants,-100,0,98,-5,54,0,52,0,0,0
major,-99,23,100,-59,0,0,0,0,0,39
airline,100,0,23,47,-35,0,38,0,0,0
motorcycle,28,49,0,72,25,0,0,52,0,0
tablet_stand,-100,-72,68,0,-9,0,0,0,55,0
fashion_ring,-52,-100,0,-38,-14,0,0,60,0,0
kettle,0,-52,-42,44,-100,30,0,0,0,0
clogs,-85,98,-100,0,-51,0,0,0,69,0
burger,100,0,77,26,-70,0,40,0,0,0
beach,-100,98,-41,-37,0,0,0,0,0,44
headboard,-100,100,12,0,70,0,0,0,66,0
nursing_pillow,-36,99,-80,0,90,0,0,0,69,0
ram,-97,-10,0,-100,31,0,0,55,0,0
dash_cam,100,0,-21,36,45,0,56,0,0,0
packing_cubes,-40,0,-40,-100,-45,0,49,0,0,0
trifle_bowl,0,100,-80,-49,2,40,0,0,0,0
salt_shaker,0,-38,100,-78,28,41,0,0,0,0
sd_card,0,23,28,-100,-12,39,0,0,0,0
all_season_tires,-2,100,1,52,0,0,0,0,0,57
antihistamine,-76,100,0,-15,-89,0,0,64,0,0
thermometer,4,-91,-61,-100,0,0,0,0,0,63
ergonomic_mouse,45,17,-100,-79,0,0,0,0,0,64
rowing_machine,98,33,76,-86,0,0,0,0,0,47
coffee_tamper,-67,-41,57,0,93,0,0,0,52,0
duct_tape,20,-99,0,37,-100,0,0,49,0,0
seat_cover,100,41,56,0,68,0,0,0,48,0
binder_planner,0,17,38,-100,-81,43,0,0,0,0
gelato,-77,-100,0,-87,-59,0,0,43,0,0
headlight,100,-52,-9,48,0,0,0,0,0,43
performance_tires,46,-29,55,-100,0,0,0,0,0,58
ski_helmet,-60,-41,85,0,29,0,0,0,54,0
heated_gloves,71,47,0,87,-100,0,0,60,0,0
embroidery_needles,0,100,-34,-89,51,43,0,0,0,0
scholarship,43,-25,-18,0,75,0,0,0,57,0
jeans,-29,-83,-100,3,0,0,0,0,0,43
generator,100,17,86,0,-73,0,0,0,38,0
peeler,-98,-10,0,35,-32,0,0,43,0,0
necklace,100,-86,0,29,-10,0,0,69,0,0
fixative_spray,-22,-57,0,-100,-45,0,0,63,0,0
chicken,100,0,-55,82,-36,0,40,0,0,0
masking_tape,-63,100,-65,0,45,0,0,0,44,0
smart_display,-88,0,-8,55,71,0,48,0,0,0
water_bottle,30,-66,0,-100,69,0,0,49,0,0
lift_chair,47,0,40,45,-100,0,63,0,0,0
pastels,0,-16,100,-33,-43,49,0,0,0,0
toaster,64,-100,0,27,-50,0,0,40,0,0
uv_resin_light,0,100,-33,65,82,38,0,0,0,0
smart_bulb,0,-25,-34,64,-71,46,0,0,0,0
guacamole,0,29,14,-17,68,69,0,0,0,0
pet_treats,2,87,-100,0,18,0,0,0,35,0
punch_bowl,0,-87,26,100,0,0,0,0,0,50
nutcracker,0,-100,-6,-51,27,56,0,0,0,0
bathroom_scale,-11,0,63,-100,87,0,52,0,0,0
patio_umbrella,73,92,100,-98,0,0,0,0,0,68
stroller,-46,0,100,-80,-49,0,51,0,0,0
ladder_toss,60,-64,65,0,100,0,0,0,66,0
perfume,-28,0,-83,0,100,0,0,0,41,0
sled,78,0,-82,-75,-74,0,43,0,0,0
snow_shovel,98,-100,-70,0,-99,0,0,0,62,0
car_emergency_kit,11,-23,30,-17,0,0,0,0,0,57
chalk_markers,-6,-5,0,-65,-100,0,0,69,0,0
wood_lathe,0,-17,-100,-32,37,52,0,0,0,0
cargo_trailer,76,61,-78,0,25,0,0,0,51,0
tablet,-89,26,100,97,0,0,0,0,0,55
diving_mask,0,80,-100,84,39,38,0,0,0,0
ice_bucket,10,-88,0,-14,36,0,0,42,0,0
dry_suit,70,100,0,-31,-17,0,0,62,0,0
sailboat,85,100,81,-89,0,0,0,0,0,43
duffel_bag,0,91,100,-11,96,50,0,0,0,0
outdoor_plant,0,100,-41,-38,-70,32,0,0,0,0
boat_trailer,-45,56,0,-39,72,0,0,36,0,0
figure_skates,-57,0,100,74,-1,0,34,0,0,0
sunglasses,-93,0,36,-66,67,0,45,0,0,0
coffee_grinder,21,-9,0,100,-70,0,0,70,0,0
bread_box,-79,75,0,-64,78,0,0,64,0,0
disinfectant,0,-46,-46,100,8,49,0,0,0,0
hot_dog,0,93,-100,-34,87,55,0,0,0,0
sudoku_book,-6,0,100,52,-8,0,43,0,0,0
whiteboard_markers,-6,100,97,-81,0,0,0,0,0,44
bra,0,55,68,60,-2,45,0,0,0,0
scrapbook,70,100,-92,0,-15,0,0,0,58,0
mini_paint,-24,-16,64,0,62,0,0,0,53,0
nail_clipper,0,100,37,-76,89,56,0,0,0,0
pitchfork,92,0,91,100,38,0,54,0,0,0
pain_reliever,-63,0,-40,58,99,0,31,0,0,0
tiered_cake_stand,0,100,29,-59,90,30,0,0,0,0
packing_tape,-35,100,44,0,78,0,0,0,37,0
play_mat,100,0,-93,-55,-64,0,54,0,0,0
mocha,-21,-32,88,0,76,0,0,0,66,0
coat,0,48,57,-40,100,37,0,0,0,0
baby_carrier,-25,100,0,75,3,0,0,33,0,0
felting_wool,-2,87,-19,-12,0,0,0,0,0,44
action_camera,-72,-100,-53,-40,0,0,0,0,0,40
changing_pad,-21,18,0,-100,-65,0,0,66,0,0
ladder,100,0,-20,-95,3,0,56,0,0,0
leather_conditioner,0,2,54,76,4,54,0,0,0,0
compression_bag,-100,79,-52,0,39,0,0,0,56,0
robot_mop,0,-49,-90,-50,100,38,0,0,0,0
crutches,13,-84,72,-100,0,0,0,0,0,39
compost_bin,-100,0,98,5,-18,0,59,0,0,0
car_seat,-20,0,-46,100,-89,0,31,0,0,0
sports_drink,28,80,0,23,75,0,0,60,0,0
kitchen_faucet,0,83,-100,62,-23,34,0,0,0,0
mascara,-48,80,0,62,75,0,0,49,0,0
snow_boots,-19,-5,-27,0,26,0,0,0,39,0
poster,75,50,-63,100,0,0,0,0,0,60
mouse,29,0,83,-42,-100,0,60,0,0,0
egg_timer,94,-72,100,-34,0,0,0,0,0,66
shin_guards,30,0,100,43,-67,0,69,0,0,0
charcoal_pencils,-100,32,-29,0,-3,0,0,0,59,0
rideshare,90,-21,-4,0,-100,0,0,0,37,0
cufflinks,-100,99,-46,0,5,0,0,0,63,0
sink_stopper,-79,-1,0,-100,47,0,0,46,0,0
backpack,-3,-98,-89,0,16,0,0,0,48,0
golf_clubs,-78,100,0,-18,-54,0,0,37,0,0
antifungal_cream,35,-95,-43,100,0,0,0,0,0,46
watch,-100,95,-34,-21,0,0,0,0,0,47
bed_frame,0,-2,-94,93,100,59,0,0,0,0
scooter,36,-100,0,-4,-90,0,0,52,0,0
smart_home_hub,-63,60,38,-65,0,0,0,0,0,59
heater,0,58,-12,-10,-25,44,0,0,0,0
shop_vac,-35,-100,-89,0,48,0,0,0,51,0
underwear,-100,-83,0,-1,-4,0,0,59,0,0
bath_mat,20,-3,-100,21,0,0,0,0,0,38
doorbell,96,-100,-87,0,-29,0,0,0,65,0
notebook,0,-81,14,27,100,35,0,0,0,0
energy_drink,39,-100,22,0,-22,0,0,0,34,0
foam_roller,-25,92,100,0,70,0,0,0,58,0
butcher_block,0,12,-100,28,-31,51,0,0,0,0
razor,-55,0,-58,39,-100,0,32,0,0,0
parrot,0,-35,-93,-16,24,57,0,0,0,0
debit_card,10,0,79,-22,-100,0,62,0,0,0
blackhead_remover,-4,-30,-52,-59,0,0,0,0,0,38
smartphone,0,73,25,64,100,43,0,0,0,0
highlighter,0,100,61,-6,-15,56,0,0,0,0
travel_umbrella,0,48,75,-54,100,63,0,0,0,0
mouthguard,90,0,3,82,71,0,57,0,0,0
face_respirator,-63,100,0,96,12,0,0,37,0,0
outdoor_rug,77,51,0,100,-83,0,0,55,0,0
trailer_hitch,0,-44,100,-35,-70,33,0,0,0,0
football,83,0,66,-100,-38,0,60,0,0,0
hockey_skates,-77,-73,0,100,-68,0,0,60,0,0
reading_lamp,82,100,-63,-92,0,0,0,0,0,65
mousse,83,0,66,-100,-6,0,42,0,0,0
gas_grill,-71,-96,100,-24,0,0,0,0,0,49
pillar_holder,60,-79,0,-25,-100,0,0,68,0,0
cookie_cutters,-29,-100,67,24,0,0,0,0,0,38
card_reader,0,87,100,-33,-51,39,0,0,0,0
wallet,0,-58,100,-89,96,59,0,0,0,0
super_glue,-51,0,98,-92,-100,0,42,0,0,0
nasal_spray,0,86,-14,-73,100,58,0,0,0,0
air_fryer,32,-38,-57,-100,0,0,0,0,0,63
outdoor_heater,0,-86,97,-60,-41,49,0,0,0,0
basketball,0,-72,29,-49,-100,53,0,0,0,0
phone_mount,0,-95,-73,-100,-51,48,0,0,0,0
luggage_set,-4,0,100,0,21,0,41,0,0,0
shovel,-42,70,80,0,-86,0,0,0,54,0
pulse_oximeter,0,28,90,-63,-100,49,0,0,0,0
boombox,5,-99,21,23,0,0,0,0,0,48
pacifier,66,100,-46,0,97,0,0,0,43,0
pet_food,-8,0,-71,-98,-100,0,66,0,0,0
3d_printer_enclosure,-51,-40,20,0,15,0,0,0,54,0
crib,-96,0,-35,-5,100,0,67,0,0,0
smoke_mask,-37,-77,-51,100,0,0,0,0,0,32
instant_pot,100,-23,0,-92,-86,0,0,60,0,0
case_fan,30,14,-100,-9,0,0,0,0,0,43
door,79,94,0,-90,-100,0,0,44,0,0
correction_tape,-42,0,-100,-22,-21,0,62,0,0,0
thermal_paste,78,-100,-27,-28,0,0,0,0,0,63
drawing_pad,-29,0,44,75,53,0,42,0,0,0
shower_liner,0,-26,46,-53,100,63,0,0,0,0
charcoal_grill,53,71,50,0,-100,0,0,0,63,0
dry_erase_calendar,-32,-100,-73,0,63,0,0,0,33,0
thermos,-2,100,13,0,-33,0,0,0,69,0
mirrorless_camera,55,100,0,-44,50,0,0,45,0,0
mahjong_set,0,-74,-57,85,25,45,0,0,0,0
sectional,-63,0,-33,89,100,0,56,0,0,0
embossing_powder,-100,3,81,0,-31,0,0,0,44,0
bodyboard,-35,64,0,95,-7,0,0,70,0,0
poker_table,100,-89,0,99,-27,0,0,34,0,0
safety_gate,-10,37,-53,100,0,0,0,0,0,53
water_filter,-29,-100,-56,-13,0,0,0,0,0,30
punching_bag,-100,61,0,54,-77,0,0,44,0,0
van,100,0,-16,-38,58,0,54,0,0,0
coffeemaker,10,-48,0,17,23,0,0,62,0,0
fertility_monitor,-57,0,-95,-55,-46,0,57,0,0,0
bidet,19,99,-100,-74,0,0,0,0,0,48
car_wax,-45,23,100,0,71,0,0,0,44,0
paint_palette,41,-4,3,-29,0,0,0,0,0,35
cordless_vacuum,-100,-38,77,0,82,0,0,0,38,0
gouache_paints,-92,-6,65,0,-1,0,0,0,57,0
baby_swing,0,-100,-51,27,20,70,0,0,0,0
protein_bar,7,90,25,-100,0,0,0,0,0,39
turtle,74,100,88,0,-34,0,0,0,65,0
guided_tour,71,-100,65,0,-69,0,0,0,60,0
pearl_earrings,0,100,53,-50,58,49,0,0,0,0
taxi_service,47,-58,16,-100,0,0,0,0,0,35
coupe,78,-100,0,6,12,0,0,62,0,0
apartment,75,0,-4,-37,13,0,47,0,0,0
palette_knife,9,-100,0,18,-73,0,0,55,0,0
life_jacket,-12,68,0,19,58,0,0,55,0,0
quilting_fabric,91,0,24,-84,-58,0,45,0,0,0
chest_freezer,0,-38,-17,66,-100,44,0,0,0,0
pumps,0,-47,63,-84,-94,62,0,0,0,0
dumbbell,-87,-52,0,100,47,0,0,57,0,0
toilet_paper,-35,-80,31,0,-100,0,0,0,30,0
water_test_kit,-77,0,100,66,-23,0,45,0,0,0
dress_form,-18,35,-65,15,0,0,0,0,0,30
epoxy_resin,72,-66,0,-80,-24,0,0,41,0,0
table,95,0,-72,85,100,0,61,0,0,0
glue_gun,87,-100,0,70,68,0,0,52,0,0
ottoman,-12,15,0,100,31,0,0,45,0,0
extension_cord,71,46,0,100,54,0,0,45,0,0
cupcake_liners,-47,95,-3,-30,0,0,0,0,0,63
cappuccino,0,-100,-61,-76,-83,56,0,0,0,0
pineapple_corer,100,3,23,0,-69,0,0,0,43,0
destination,16,-100,9,85,0,0,0,0,0,68
external_ssd,-6,-27,0,-26,93,0,0,62,0,0
baby_dishware,78,-35,94,100,0,0,0,0,0,45
water_skis,100,0,-60,-54,-18,0,61,0,0,0
upright_freezer,32,83,100,0,97,0,0,0,43,0
pitcher,-100,94,-78,98,0,0,0,0,0,48
promise_ring,64,47,0,100,-72,0,0,46,0,0
printer_bed,0,-23,53,-100,60,70,0,0,0,0
saw,-100,-41,-98,0,-15,0,0,0,46,0
pickup_truck,100,-17,76,0,-61,0,0,0,43,0
gooseneck_kettle,0,2,-88,29,100,38,0,0,0,0
workbench,67,0,-83,58,100,0,59,0,0,0
skis,0,9,-68,-100,-30,66,0,0,0,0
bathrobe,0,73,-33,100,-89,51,0,0,0,0
kennel,-94,-68,-100,-1,0,0,0,0,0,56
gazebo,85,0,-100,-39,40,0,31,0,0,0
coffee_cart,-29,2,-84,-86,0,0,0,0,0,44
lazy_susan,81,0,100,-14,-79,0,33,0,0,0
uv_sanitizer,-63,-26,100,0,57,0,0,0,35,0
saline_solution,-87,-87,100,0,49,0,0,0,52,0
hummus,-33,100,3,90,0,0,0,0,0,38
nail_polish,-58,67,-98,-58,0,0,0,0,0,59
screen_printing_kit,83,0,-12,-100,42,0,31,0,0,0
bath_seat,-20,-84,16,0,100,0,0,0,31,0
pamphlet,0,-4,-38,-13,-100,63,0,0,0,0
cotton_pads,99,-77,-100,-6,0,0,0,0,0,32
macrame_cord,67,-100,97,0,65,0,0,0,45,0
recycle_bin,-24,-100,-54,0,-100,0,0,0,48,0
floss,100,0,73,-48,32,0,47,0,0,0
glasses,-38,0,18,100,-96,0,46,0,0,0
minivan,-7,45,69,0,-100,0,0,0,37,0
soda_maker,-95,-32,0,42,33,0,0,53,0,0
notary,88,-31,0,87,-10,0,0,40,0,0
wall_sconce,30,93,0,-22,-30,0,0,35,0,0
pregnancy_test,23,0,100,18,-13,0,34,0,0,0
kitchen_garbage,0,42,-4,21,-78,64,0,0,0,0
knitting_needles,60,-18,38,0,77,0,0,0,46,0
baking_sheet,22,0,5,21,-100,0,61,0,0,0
button_maker,100,0,50,71,77,0,34,0,0,0
nasal_aspirator,25,74,3,0,-5,0,0,0,40,0
drill,85,42,7,100,0,0,0,0,0,67
face_shield,8,0,20,-100,57,0,57,0,0,0
eyeshadow,28,100,29,0,23,0,0,0,41,0
latte,86,59,-100,0,63,0,0,0,42,0
wok,89,-72,68,0,-94,0,0,0,37,0
tennis_ball,0,14,87,-100,-33,50,0,0,0,0
gaming_mouse,-2,-100,-53,-19,0,0,0,0,0,67
sheet_mask,-27,-34,0,-22,100,0,0,33,0,0
rowboat,81,-22,0,100,45,0,0,42,0,0
dishwasher,-87,100,0,66,93,0,0,53,0,0
iron,51,0,-26,48,100,0,33,0,0,0
fire_blanket,51,0,-100,-81,-57,0,40,0,0,0
deep_fryer,0,-25,-100,77,-86,66,0,0,0,0
neck_pillow,-72,100,0,55,-19,0,0,62,0,0
sculpting_tools,55,-96,-93,100,0,0,0,0,0,57
tuna,0,83,25,-15,34,66,0,0,0,0
heat_gun,-34,0,-59,-100,-84,0,55,0,0,0
vegetable_plant,65,0,34,84,-69,0,61,0,0,0
laser_pointer,0,23,38,50,64,54,0,0,0,0
roof_rack,0,38,100,67,30,45,0,0,0,0
pliers,44,-87,0,-12,100,0,0,35,0,0
brace,93,0,63,100,70,0,64,0,0,0
guesthouse,89,0,-87,100,87,0,41,0,0,0
powerbank,35,-100,0,-92,54,0,0,60,0,0
epoxy,-100,81,33,7,0,0,0,0,0,31
brush_pen,0,-16,-47,-100,79,66,0,0,0,0
saucepan,-28,18,-73,-92,0,0,0,0,0,61
punch_needle_kit,44,100,0,82,0,0,0,36,0,0
loom,100,-88,93,0,-38,0,0,0,66,0
air_compressor,84,-74,-74,2,0,0,0,0,0,59
outdoor_storage_bench,26,-58,0,100,97,0,0,32,0,0
earbuds,18,-28,0,22,42,0,0,46,0,0
electric_car,0,17,-14,-56,9,55,0,0,0,0
trimmer,65,-92,0,100,-60,0,0,54,0,0
earrings,-100,-65,-4,-10,0,0,0,0,0,67
chocolate_fountain,-7,-100,0,14,39,0,0,69,0,0
lotion,0,-84,80,-28,-100,58,0,0,0,0
bar_cart,-100,0,-11,95,-63,0,58,0,0,0
flash,41,-95,-100,0,91,0,0,0,47,0
diaper_type,-55,-48,-100,29,0,0,0,0,0,69
ups,-4,20,100,-88,0,0,0,0,0,64
trackball_mouse,-100,59,44,7,0,0,0,0,0,44
toilet_seat,5,69,-66,0,-100,0,0,0,46,0
projector,17,100,73,0,69,0,0,0,45,0
jump_rope,-28,1,-21,-10,0,0,0,0,0,66
hair_tie,13,47,94,0,78,0,0,0,32,0
chainsaw,-93,0,-25,40,100,0,55,0,0,0
bird,-100,0,-24,-10,47,0,64,0,0,0
scale,-100,0,-79,0,51,0,0,0,42,0
bunk_bed,-20,-20,-100,0,58,0,0,0,56,0
fertilizer,0,26,66,1,88,65,0,0,0,0
calligraphy_pen,-99,46,0,-74,-100,0,0,67,0,0
blouse,-44,0,-37,-100,-88,0,70,0,0,0
incense_holder,100,91,-42,0,-2,0,0,0,31,0
laptop_stand,-21,0,100,-40,-41,0,38,0,0,0
futon,100,76,-91,-78,0,0,0,0,0,66
toddler_bed,100,-5,-23,9,0,0,0,0,0,39
bbq_grill,0,91,-18,-25,100,68,0,0,0,0
motorized_blinds,100,20,18,-52,0,0,0,0,0,70
under_sink_organizer,42,-94,0,-100,-99,0,0,41,0,0
clock,100,-7,0,7,97,0,0,70,0,0
pen,79,-92,85,4,0,0,0,0,0,65
hammer,-63,62,0,73,-100,0,0,38,0,0
garbage_disposal,0,26,-43,-100,-12,41,0,0,0,0
hair_clip,100,-27,0,83,34,0,0,49,0,0
protective_goggles,0,-41,100,71,-38,57,0,0,0,0
towel,69,0,44,-90,89,0,34,0,0,0
elliptical,-29,39,36,41,0,0,0,0,0,52
microphone,0,4,-23,-81,-100,66,0,0,0,0
oil_paints,-82,-100,-32,0,-25,0,0,0,68,0
av_receiver,-98,0,49,74,-30,0,37,0,0,0
white_out,34,-97,0,-78,-63,0,0,36,0,0
smartwatch,-91,21,-100,0,-99,0,0,0,42,0
stamping_ink,33,-58,100,-37,0,0,0,0,0,69
baby_bottle,-62,-100,0,-62,-97,0,0,59,0,0
kettlebell,-61,0,-100,99,51,0,45,0,0,0
resin_molds,45,10,4,0,3,0,0,0,32,0
tape_dispenser,97,0,-100,47,-4,0,45,0,0,0
juice,-100,-75,66,37,0,0,0,0,0,45
spread,-58,63,0,72,9,0,0,67,0,0
bluetooth_adapter,-100,17,-65,0,91,0,0,0,50,0
power_station,0,24,100,68,8,50,0,0,0,0
rc_plane,-6,-74,-100,0,33,0,0,0,61,0
dessert,10,0,71,-100,35,0,70,0,0,0
compass,-56,48,-55,0,82,0,0,0,31,0
latch_hook_kit,100,2,-74,22,0,0,0,0,0,39
paper_plates,-11,-27,0,-100,-99,0,0,44,0,0
bandana,48,0,-6,-98,100,0,37,0,0,0
surge_protector,-41,0,-46,100,53,0,40,0,0,0
desktop,0,-62,-65,14,23,53,0,0,0,0
jacket,-23,-24,98,-86,0,0,0,0,0,58
bug_zapper,30,-8,0,-25,92,0,0,42,0,0
freezer,33,-2,36,0,100,0,0,0,64,0
lip_balm,1,-79,0,-2,-49,0,0,35,0,0
espresso_machine,-73,0,62,-63,-34,0,41,0,0,0
train_set,0,-42,-77,68,30,56,0,0,0,0
massage_chair,0,-100,22,30,14,51,0,0,0,0
instant_film,53,-100,42,99,0,0,0,0,0,42
coffee_syrup,0,35,-68,100,86,50,0,0,0,0
ear_thermometer,17,83,-46,-100,0,0,0,0,0,49
gel_pens,-27,-26,0,-38,-55,0,0,68,0,0
hockey_stick,0,100,-71,-7,61,65,0,0,0,0
coffee_table,-71,100,0,71,55,0,0,42,0,0
diffuser,-42,59,50,100,0,0,0,0,0,36
magnifying_glass,79,0,-58,8,100,0,38,0,0,0
swim_trunks,37,67,36,0,-100,0,0,0,46,0
peanut_butter,82,0,-100,37,-100,0,32,0,0,0
cane,60,88,-100,42,0,0,0,0,0,32
essential_oils,1,72,45,0,-100,0,0,0,61,0
subwoofer,0,-100,86,5,97,50,0,0,0,0
ring_box,0,-100,76,25,-42,59,0,0,0,0
cupboard,0,-18,-8,67,-100,63,0,0,0,0
canvas_board,-37,15,-100,-74,0,0,0,0,0,69
desk_calendar,66,-93,4,0,100,0,0,0,59,0
checkers,83,48,73,0,22,0,0,0,34,0
champagne_flute,90,5,-100,0,-56,0,0,0,51,0
hybrid_car,-62,33,0,-100,-91,0,0,52,0,0
neti_pot,96,71,44,-94,0,0,0,0,0,40
outdoor_pool_table,0,80,4,-100,88,66,0,0,0,0
booster_seat,-100,0,-56,-12,-99,0,65,0,0,0
pencil,-47,52,100,75,0,0,0,0,0,66
mortgage,0,78,78,100,-54,37,0,0,0,0
pantry,0,-6,100,-40,21,36,0,0,0,0
hot_water_bottle,-10,-62,0,60,-100,0,0,59,0,0
filter,0,-47,77,64,-84,57,0,0,0,0
milk_frother,-16,100,-17,13,0,0,0,0,0,61
gate,0,45,0,2,80,0,0,59,0,0
bartending_tools,-7,-66,0,-70,-100,0,0,30,0,0
laundry_detergent,54,100,95,-66,0,0,0,0,0,49
eyeliner,-86,100,-76,0,-80,0,0,0,40,0
toothbrush,100,75,89,-47,0,0,0,0,0,44
organizer,100,0,60,98,63,0,40,0,0,0
hvac_filter,0,-100,-62,40,-17,63,0,0,0,0
resin_pigments,-100,40,22,0,-13,0,0,0,70,0
mirror,-100,-38,100,73,0,0,0,0,0,70
planner_inserts,0,1,-96,-94,12,48,0,0,0,0
dog_collar,0,-29,-87,1,-51,33,0,0,0,0
socks,11,-50,100,0,-48,0,0,0,46,0
school,60,-100,-21,0,76,0,0,0,59,0
shower_head,-16,-10,3,0,2,0,0,0,42,0
longboard,-62,25,0,-74,100,0,0,36,0,0
fountain_pen,-53,100,0,-41,82,0,0,57,0,0
plastic_cutlery,0,54,100,73,72,47,0,0,0,0
brake_pads,100,46,0,-62,22,0,0,69,0,0
grant,0,-100,9,45,-56,42,0,0,0,0
leather_punch,100,-88,0,-77,-25,0,0,39,0,0
carry_on,0,-100,27,99,-58,69,0,0,0,0
fence,69,48,-91,-71,0,0,0,0,0,68
donut,-86,-55,0,-100,-63,0,0,67,0,0
off_road_vehicle,85,-61,0,100,-80,0,0,52,0,0
planter,100,6,-30,0,-93,0,0,0,51,0
led_kit,91,-40,-72,0,100,0,0,0,63,0
colored_pencils,11,0,9,100,27,0,49,0,0,0
tiki_torch,-13,86,0,1,75,0,0,49,0,0
barbell,-11,-89,0,-100,88,0,0,69,0,0
baby_bathtub,0,37,0,-35,-34,0,0,39,0,0
comic_boxes,-56,69,0,-93,45,0,0,65,0,0
burp_cloth,-55,-95,100,-65,0,0,0,0,0,35
home_roaster,-27,21,-100,0,37,0,0,0,45,0
leather_stamping_kit,25,100,-58,0,12,0,0,0,38,0
egg_holder,0,57,-100,50,100,53,0,0,0,0
drain_cleaner,-100,90,35,0,-99,0,0,0,38,0
wedding_ring,-25,0,58,-100,5,0,44,0,0,0
jack_stands,30,-57,-100,20,0,0,0,0,0,36
miniatures,0,70,-66,100,15,51,0,0,0,0
earplugs,0,-73,-45,-16,-41,66,0,0,0,0
food_storage,87,48,15,70,0,0,0,0,0,53
bosu_ball,81,-42,93,26,0,0,0,0,0,40
nightstand,100,19,1,90,0,0,0,0,0,57
vase,0,-16,-87,-51,100,44,0,0,0,0
cheese,0,-96,66,34,28,67,0,0,0,0
herbal_tea,100,-56,76,0,59,0,0,0,33,0
facial_cleanser,55,-22,0,72,29,0,0,67,0,0
leash,-29,0,-40,-75,-26,0,41,0,0,0
comic_sleeves,-17,0,84,92,-100,0,42,0,0,0
cheese_grater,40,-76,-100,23,0,0,0,0,0,69
boots,-100,-65,0,-93,-21,0,0,56,0,0
makeup_remover,100,0,-53,-75,-58,0,31,0,0,0
skates,-100,40,-3,0,54,0,0,0,35,0
conditioner,-29,-33,-100,4,0,0,0,0,0,30
eye_drops,-62,-29,0,-64,-52,0,0,53,0,0
ironing_board,0,24,-13,90,99,65,0,0,0,0
nail_buffer,69,0,-77,-42,-18,0,33,0,0,0
spice_grinder,-53,100,18,-100,0,0,0,0,0,35
powder,0,-86,-4,-52,-100,42,0,0,0,0
milkshake,63,-60,100,-84,0,0,0,0,0,54
pet_bed,34,0,-13,3,100,0,38,0,0,0
beading_needles,100,29,0,76,51,0,0,55,0,0
simple_syrup,0,-68,-100,-2,91,55,0,0,0,0
calendar,-75,17,100,0,-93,0,0,0,65,0
rain_boots,-94,-33,-44,0,-100,0,0,0,67,0
cupcake_stand,0,-62,56,-29,26,48,0,0,0,0
hi_vis_vest,-50,63,-55,0,-70,0,0,0,32,0
crackers,0,-56,54,-100,33,61,0,0,0,0
wax_warmer,-82,0,-25,96,-100,0,33,0,0,0
spice_rack,100,0,-11,-83,98,0,43,0,0,0
daybed,27,-70,-60,0,27,0,0,0,69,0
cold_medicine,0,-48,-100,-51,54,50,0,0,0,0
class,0,55,54,-84,-100,61,0,0,0,0
bullet_journal,47,79,-100,-28,0,0,0,0,0,37
catalog,0,-14,63,-9,-100,48,0,0,0,0
tile,-19,-40,99,100,0,0,0,0,0,47
smart_curtain_rod,-100,-80,-92,0,30,0,0,0,36,0
router,11,-100,-71,0,35,0,0,0,34,0
bike_rack,-100,10,70,-56,0,0,0,0,0,67
lingerie,47,-68,0,-16,-100,0,0,51,0,0
cruise,-81,0,88,-100,97,0,40,0,0,0
pajamas,47,-100,48,0,60,0,0,0,46,0
spatula,100,-54,0,57,-16,0,0,63,0,0
to_go_container,0,98,100,65,-81,65,0,0,0,0
vacuum_sealer,61,99,0,-76,71,0,0,51,0,0
kimono,100,1,0,71,45,0,0,40,0,0
electric_toothbrush,79,-71,100,-67,0,0,0,0,0,69
mandoline,-16,-100,82,0,25,0,0,0,54,0
hiking_backpack,-26,15,41,100,0,0,0,0,0,66
